AGENCY_NAME;NIGP_DESCRIPTION;PO_TOTAL_AMOUNT;ORDER_DATE;SUPPLIER;SUPPLIER_CITY;SUPPLIER_STATE
BOARD OF ELECTIONS;COPY MACHINES, BOND (PLAIN) PAPER TYPE INCLUDING PARTS AND ACCESSORIES 38;$44578.59;06/24/2011;MVS, INC.;WASHINGTON  ;DC
OFFICE OF THE ATTORNEY GENERAL;OFFICE EQUIPMENT, FILING SYSTEMS, ETC., MAINTENANCE AND REPAIR 59;$16307.40;06/24/2011;MVS, INC.;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BUS TRANSPORTATION SERVICES, SCHOOL 16;$300000.00;06/24/2011;CAPITOL ENTERTAINMENT;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;DISPLAYS, EDUCATIONAL: KITS, MODELS, PLAQUES, ETC. 44;$3492.22;06/24/2011;CAPITAL SERVICES AND SUPPLIES;WASHINGTON  ;DC
DC PUBLIC LIBRARY;ELECTRICAL EQUIPMENT (EXCEPT CABLE AND WIRES, AND LIGHTING FIXTURES) MAINTENANCE AND REPAIR 25;$11350.00;06/24/2011;R&R JANITORIAL PAINTING;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BUS TRANSPORTATION SERVICES, SCHOOL 16;$10585.00;06/24/2011;MAINOR'S BUS SERVICE;WASHINGTON  ;DC
DC PUBLIC LIBRARY;BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18;$78000.00;06/24/2011;OCLC ONLINE/AKA OCLA EASTERN;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18;$7553.66;06/24/2011;SCHOLASTIC, INC.;NEW YORK  ;NY
OFFICE OF VICTIM SERVICES;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$84000.00;06/24/2011;GREATER GOOD CONSULTING LLC;AMESBURY  ;MA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;ATHLETIC TRAINING 08;$3430.80;06/24/2011;HENRY SCHEIN, INC.;MELVILLE  ;NY
DEPARTMENT OF MOTOR VEHICLES;COLLECTION SERVICES 33;$24986.00;06/24/2011;MOORE WALLACE INC;BANNOCKBURN  ;IL
DEPARTMENT ON DISABILITY SERVICES;EMPLOYMENT GENERATING ACTIVITIES 39;$100000.00;06/24/2011;CREATIVE OPTIONS & EMPLOYMENT;UPPER MARLBORO  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;STUDENT ACTIVITIES SERVICES 76;$2930.40;06/24/2011;WILLIAM H. SADLIER, INC.;NEWYORK  ;NY
SPECIAL EDUCATION TRANSPORTATION;ARBITRATION, MEDIATION, AND ALTERNATIVE DISPUTE RESOLUTION SERVICES 05;$3600.00;06/24/2011;JOSHUA M. JAVITS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SPECIAL EDUCATION 74;$4250.00;06/24/2011;SCIPPA & ASSOCIATES, INC;CLIFTON  ;VA
OFFICE OF CHIEF TECHNOLOGY OFFICER;AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENCY TYPE) RENTAL OR LEASE 14;$32628.00;06/24/2011;ACME AUTO LEASING LLC;NORTH HAVEN  ;CT
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32;$250000.00;06/24/2011;AMERICAN EXPRESS COMPANY;WESTON  ;FL
HOMELAND SECURITY/EMERGENCY MANAGEMENT;COMMUNICATION CONTROL UNITS: CONCENTRATORS, MULTIPLEXORS, COUPLERS, ETC. 21;$994500.00;06/24/2011;VISION SECURITY SOLUTION;WASHINGTON   ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;EDUCATIONAL SERVICES, ALTERNATIVE 18;$99256.00;06/25/2011;SECOND CHANCE EMPLOYMENT SRVC;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$3500.00;06/27/2011;PEPCO ENERGY SERVICES, INC;PHILADELPIHIA  ;PA
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$172752.00;06/27/2011;BRUCE D. RYAN;ARLINGTON  ;VA
DEPARTMENT OF MENTAL HEALTH;EDUCATION AND TRAINING CONSULTING 38;$4587.00;06/27/2011;CRISIS PREVENTION INSTITUTE;MILWAUKEE  ;WI
STATE SUPERINTENDENT OF EDUCATION (OSSE);ADVISORY SERVICES, EDUCATIONAL 05;$5000.00;06/27/2011;AMERICAN YOUTH POLICY FORUM;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;BUILDING CONSTRUCTION, COMMERCIAL AND INSTITUTIONAL 24;$25329.00;06/27/2011;FAIRNESS ENVIRONMENTAL SERVICE;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;COMPUTER SOFTWARE CONSULTING 29;$135567.00;06/27/2011;GEOGRAPHIC SOLUTIONS INC;PALM HARBOUR  ;FL
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$225000.00;06/27/2011;LAW OFFICES OF DEUSDEDI MERCED;SCARSDALE  ;NY
DEPARTMENT OF TRANSPORTATION;MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54;$9843.48;06/27/2011;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DEPARTMENT OF MOTOR VEHICLES;COMPUTER SOFTWARE CONSULTING 29;$4559.00;06/27/2011;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;PAPER ITEMS, CLASSROOM: COMPOSITION BOOKS, SCRAPBOOKS, EXAMINATION BOOKLETS, NOTEBOOK FILLER, TABLETS, ETC. 76;$5934.50;06/27/2011;AUDIO VISUAL INNOVATIONS INC;TAMPA   ;FL
LOTTERY & CHARITABLE GAMES CONTROL BOARD;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$8400.00;06/27/2011;ELSYM;KENNESAW  ;GA
DEPARTMENT OF EMPLOYMENT SERVICES;EDUCATION AND TRAINING CONSULTING 38;$761254.00;06/27/2011;DC CHILDREN YOUTH INVESTMENT;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$71323.20;06/27/2011;LOCKHEED MARTIN DESKTOP SOLUTI;FAIRFAX  ;VA
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$18283.45;06/27/2011;PRESIDENT & DIRECTORS OF GEORGETOWN COLLEGE FOR GEORGETOWN UNIVERSITY;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$48720.18;06/27/2011;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF HUMAN SERVICES;COMPUTER SOFTWARE CONSULTING 29;$53000.00;06/27/2011;OST, INC.;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$140304.00;06/27/2011;FRANCES RASKIN;WASHINGTON  ;DC
EQUIPMENT LEASE - CAPITAL;COMPUTER NETWORK CONSULTING 30;$173290.64;06/27/2011;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$36730.00;06/27/2011;OST, INC.;WASHINGTON  ;DC
EQUIPMENT LEASE - CAPITAL;COMPUTER SOFTWARE CONSULTING 29;$115068.09;06/27/2011;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$63805.76;06/27/2011;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$29658.80;06/27/2011;OST, INC.;WASHINGTON  ;DC
EQUIPMENT LEASE - CAPITAL;COMPUTER SOFTWARE CONSULTING 29;$120854.01;06/27/2011;OST, INC.;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);ADVISORY SERVICES, EDUCATIONAL 05;$5000.00;06/27/2011;ELSIE WHITLOW STOKES PCS;WASHINGTON  ;DC
OFFICE OF CHIEF FINANCIAL OFFICER;COURIER/DELIVERY SERVICES (INCLUDING AIR COURIER SERVICES) 24;$82291.58;06/27/2011;DUNBAR ARMORED, INC.;HUNT VALLEY  ;MD
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$3500.00;06/27/2011;WASHINGTON GAS LIGHT COMPANY;WASHINGTON  ;DC
DEPARTMENT OF PARKS AND RECREATION;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$11710.50;06/27/2011;ALLIED RENTALS, INC;BETHESDA  ;MD
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$22945.77;06/27/2011;HILLIS-CARNES ENGINEERING ASN;ANNAPOLIS JUNCTION  ;MD
DEPARTMENT OF TRANSPORTATION;TRAFFIC SIGNAL POLES, STANDARDS, AND BRACKETS 85;$50200.00;06/27/2011;SABRA, WANG & ASSOCIATES, INC;BALTIMORE  ;MD
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$1028254.00;06/27/2011;LANCE BAILEY & ASSOCIATES INC;SILVER SPRING  ;MD
OFFICE OF CHIEF TECHNOLOGY OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$6697.70;06/27/2011;RAINMAKER DBA SYBASE IAD;CAMPBELL  ;CA
OFFICE OF CHIEF FINANCIAL OFFICER;EMERGENCY MEDICAL SERVICES (EMS) EQUIPMENT AND SUPPLIES (INCLUDING RESPONSE KITS, LIFE SUPPORT KITS, TRAUMA KITS, ETC.) 37;$10861.58;06/27/2011;MEDICAL SUPPLY SYSTEMS INC;WASHINGTON  ;DC
DEPARTMENT OF CORRECTIONS;ELECTRICAL SUPPLIES 37;$4015.88;06/27/2011;W W GRAINGER INC;LAKE FOREST  ;IL
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$79583.70;06/27/2011;CDW GOVERNMENT, INC.;VERNON HILLS  ;IL
DC PUBLIC LIBRARY;BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18;$5000.00;06/27/2011;THE ROSEN PUBLISHING GROUP;NEW YORK  ;NY
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$124080.00;06/27/2011;PETER B. VADEN,ATTORNEY AT LAW;CHARLOTTESVILLE  ;VA
DEPARTMENT OF GENERAL SERVICES;BUILDING CONSTRUCTION SERVICES, NEW 00;$5396892.00;06/27/2011;EEC OF DC INC-FORRESTER CONSTR;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$3398425.00;06/27/2011;TURNER CONSTRUCTION COMPANY;ARLINGTON  ;VA
DISTRICT DEPARTMENT OF THE ENVIRONMENT;MEASURING INSTRUMENTS, ANALOG AND DIGITAL (FOR CAPACITANCE, CURRENT, FREQUENCY, IMPEDANCE, POWER, RESISTANCE, SOUND LEVEL, VOLTAGE, ETC.) 54;$4518.50;06/27/2011;RYAN DIAGNOSTICS, INC;NAPERVILLE  ;IL
DEPARTMENT OF EMPLOYMENT SERVICES;COMPUTER SOFTWARE CONSULTING 29;$31101.84;06/28/2011;QAS, LTD.;BOSTON  ;MA
OFFICE OF THE ATTORNEY GENERAL;LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50;$3600.00;06/28/2011;THOMAS F. GROGAN;SPRINGFIELD  ;PA
DEPARTMENT OF HEALTH;MEMBERSHIP DUES 48;$2730.00;06/28/2011;CLEAR;LEXINGTON  ;KY
OFFICE OF CHIEF TECHNOLOGY OFFICER;MICROCOMPUTERS, MULTI-PROCESSOR 55;$12248.57;06/28/2011;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DISTRICT DEPARTMENT OF THE ENVIRONMENT;COMPUTERS, PARTS AND SUPPLIES 29;$3265.56;06/28/2011;DELL COMPUTER CORP.;ROUND ROCK  ;TX
OFFICE OF CHIEF TECHNOLOGY OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$651766.88;06/28/2011;DELL COMPUTER CORP.;ROUND ROCK  ;TX
OFFICE OF CHIEF TECHNOLOGY OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$8385.41;06/28/2011;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;MICROCOMPUTERS, DESKTOP OR TOWERBASED 53;$10030.77;06/28/2011;APPLE COMPUTER INC;CUPERTINO  ;CA
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$39385.20;06/28/2011;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;DESIGN BUILD SERVICES 25;$20813348.99;06/28/2011;THE JOHN AKRIDGE CO;WASHINGTON  ;DC
FIRE AND EMERGENCY MEDICAL SERVICES;BUILDINGS - ARCHITECTURAL DESIGN 10;$16370.00;06/28/2011;ZIVIC AND HURDLE ARCH. P.C.;FAIRFAX  ;VA
FIRE AND EMERGENCY MEDICAL SERVICES;BUILDINGS - ARCHITECTURAL DESIGN 10;$16370.00;06/28/2011;ZIVIC AND HURDLE ARCH. P.C.;FAIRFAX  ;VA
DEPARTMENT ON DISABILITY SERVICES;TRANSITIONAL LIVING 92;$875150.90;06/28/2011;ST. JOHN'S COMMUNITY SERVICES;WASHINGTON  ;DC
HOMELAND SECURITY GRANTS;COMPUTER SOFTWARE CONSULTING 29;$46387.20;06/28/2011;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$28300.00;06/28/2011;OST, INC.;WASHINGTON  ;DC
OFFICE OF UNIFIED COMMUNICATIONS;COMPUTER SOFTWARE CONSULTING 29;$47042.10;06/28/2011;OST, INC.;WASHINGTON  ;DC
OFFICE OF UNIFIED COMMUNICATIONS;COMPUTER SOFTWARE CONSULTING 29;$62688.34;06/28/2011;OST, INC.;WASHINGTON  ;DC
EQUIPMENT LEASE - CAPITAL;COMPUTER SOFTWARE CONSULTING 29;$67154.56;06/28/2011;OST, INC.;WASHINGTON  ;DC
EQUIPMENT LEASE - CAPITAL;COMPUTER SOFTWARE CONSULTING 29;$186521.72;06/28/2011;OST, INC.;WASHINGTON  ;DC
DEPARTMENT ON DISABILITY SERVICES;VOCATIONAL TRAINING, ALL TYPES  (INCLUDING VOCATIONAL REHABILITATION AND TECHNICAL EDUCATION) 86;$30013.75;06/28/2011;ANCHOR MENTAL HEALTH ASSN. INC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SPECIAL EDUCATION 74;$3434.50;06/28/2011;SUPER DUPER PUBLICATIONS;GREENVILLE  ;SC
DEPARTMENT OF TRANSPORTATION;ELECTRICAL ENGINEERING 31;$728117.01;06/28/2011;FORT MYER CONSTRUCTION CORPORA;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BELTS AND SUSPENDERS 25;$10276.50;06/28/2011;MARLOW SPORTS, INC.;FORESTVILLE  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SOCCER EQUIPMENT 66;$13941.00;06/28/2011;MARLOW SPORTS, INC.;FORESTVILLE  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BELTS AND SUSPENDERS 25;$6529.60;06/28/2011;MARLOW SPORTS, INC.;FORESTVILLE  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;FOOTBALL EQUIPMENT 48;$10708.50;06/28/2011;MARLOW SPORTS, INC.;FORESTVILLE  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;ATHLETIC AND SPORTING GOODS EQUIPMENT AND ACCESSORIES (SHOULDER PADS, ETC.), MAINTENANCE AND REPAIR 11;$8148.00;06/28/2011;MARLOW SPORTS, INC.;FORESTVILLE  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;ATHLETIC AND SPORTING GOODS EQUIPMENT AND ACCESSORIES (SHOULDER PADS, ETC.), MAINTENANCE AND REPAIR 11;$16585.30;06/28/2011;MARLOW SPORTS, INC.;FORESTVILLE  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TRACK EQUIPMENT (INCLUDING PEDOMETERS, POLE VAULT AND HIGH JUMP EQUIPMENT, ETC.) 81;$9832.25;06/28/2011;MARLOW SPORTS, INC.;FORESTVILLE  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BELTS AND SUSPENDERS 25;$10330.75;06/28/2011;MARLOW SPORTS, INC.;FORESTVILLE  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;FOOTBALL EQUIPMENT 48;$7515.00;06/28/2011;MARLOW SPORTS, INC.;FORESTVILLE  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CAMERAS, STILL, NONSPECIALIZED (SELF-DEVELOPING FILM TYPE, ETC.) 35;$2598.00;06/28/2011;MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$9019.00;06/28/2011;CITY GENERAL, INC.;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$22500.00;06/28/2011;LATIN AMERICAN YOUTH CENTER;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;FIBER OPTICS CABLES, INTERCONNECTING COMPONENTS, AND ACCESSORIES 23;$50709.15;06/28/2011;PAIGE INTERNATIONAL;WASHINGTON  ;DC
OFFICE OF THE ATTORNEY GENERAL;LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50;$3300.00;06/28/2011;THE COORDINATING CENTER;MILLERSVILLE  ;MD
DISTRICT DEPARTMENT OF THE ENVIRONMENT;ENVIRONMENTAL SERVICES (NOT OTHERWISE CLASSIFIED) 42;$48112.46;06/28/2011;GREENHORNE & O'MARA INC;LAUREL  ;MD
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$51488.00;06/28/2011;FORNEY ENTERPRISES, INC.;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$9490.00;06/28/2011;AMAR GROUP LLC;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;MEMBERSHIP DUES 48;$18800.00;06/28/2011;ASSN OF STATE & TERRIT HEALTH;ARLINGTON  ;VA
EQUIPMENT LEASE - CAPITAL;TWO-WAY RADIO, PORTABLE, INCLUDING VEHICLE RADIO RELAY SYSTEMS 74;$8755578.00;06/28/2011;MOTOROLA, INC.;SCHAUMBURG  ;IL
OFFICE OF UNIFIED COMMUNICATIONS;HARDWARE 50;$4136205.55;06/28/2011;MOTOROLA, INC.;SCHAUMBURG  ;IL
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$24000.00;06/28/2011;POWER OF PRAYER DAYCARE;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;PRINTERS, LASER 77;$14139.99;06/28/2011;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DEPARTMENT OF TRANSPORTATION;TRANSPORTATION CONSULTING 96;$75000.00;06/29/2011;MICHAEL S LICHT;WASHINGTON  ;DC
DEPARTMENT OF HUMAN SERVICES;HOTEL/MOTEL ACCOMODATIONS (INCL. LODGES, RESORTS, BED/BREAKFAST INNS, ETC.) 30;$56475.00;06/29/2011;T&L HOSPITALITY-DAYS INN GATEW;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;EDUCATION AND TRAINING CONSULTING 38;$13800.00;06/29/2011;THOMAS A. DECOSTER;CARMEL  ;IN
OFFICE OF MUNICIPAL PLANNING;HISTORICAL PRESERVATION 48;$19212.00;06/29/2011;CHARLES A. MCCULLUM, JR.;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SOFTWARE, COMPUTER, RENTAL OR LEASE 74;$3077.98;06/29/2011;DELL COMPUTER CORP.;ROUND ROCK  ;TX
OFFICE OF MUNICIPAL PLANNING;HISTORICAL PRESERVATION 48;$28000.00;06/29/2011;TERRI C WHITING;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;ANALYTICAL STUDIES AND SURVEYS (CONSULTING) 12;$90000.00;06/29/2011;JOB TRENDS ASSOCIATES, INC.;ROCKVILLE  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78;$483000.00;06/29/2011;LEARN IT SYSTEMS, LLC;BALTIMORE  ;MD
CRIMINAL JUSTICE COORDINATING COUNCIL;RESEARCH SERVICES (OTHER THAN BUSINESS) 70;$42798.99;06/29/2011;UNIVERSITY OF MARYLAND;BALTIMORE  ;MD
DEPARTMENT OF MENTAL HEALTH;BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18;$4999.00;06/29/2011;JA MAJORS CO. 1, LTD;CHARLOTTE  ;NC
OFFICE OF ZONING;MICROCOMPUTERS, DESKTOP OR TOWERBASED 53;$10236.94;06/29/2011;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DEPART OF YOUTH REHABILITATION SERVICES;ACCESS CONTROL SYSTEMS AND SECURITY SYSTEMS 02;$30000.00;06/29/2011;M C DEAN INC;DULLES  ;VA
DEPARTMENT OF CORRECTIONS;ADMINISTRATIVE CONSULTING 06;$33893.64;06/29/2011;UNIFICARE, LTD;DALLAS  ;TX
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COMPUTERS, PARTS AND SUPPLIES 29;$5788.00;06/29/2011;APPLE COMPUTER INC;CUPERTINO  ;CA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COMPUTERS, PARTS AND SUPPLIES 29;$6983.95;06/29/2011;APPLE COMPUTER INC;CUPERTINO  ;CA
OFFICE OF MUNICIPAL PLANNING;HISTORICAL PRESERVATION 48;$20026.00;06/29/2011;CHRISTOPHER K. JACKSON;WASHINGTON  ;DC
HOMELAND SECURITY/EMERGENCY MANAGEMENT;"SECURITY SYSTEMS; INTRUDER AND SMOKE DETECTION/ENGINEERING 84";$9840.00;06/29/2011;ADT SECURITY SERVICES;CHANTILLY  ;VA
OFFICE OF UNIFIED COMMUNICATIONS;COMPUTER SYSTEMS, DIGITAL 25;$157290.00;06/29/2011;HEWLETT PACKARD;PALO ALTO  ;CA
OFFICE OF MUNICIPAL PLANNING;HISTORICAL PRESERVATION 48;$20000.00;06/29/2011;SARAH L. GILLIS;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$30000.00;06/29/2011;SECOND GENESIS, INC.;SILVER SPRING  ;MD
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$18500.00;06/29/2011;NORTH AMERICAN MANAGEMENT;ALEXANDRIA  ;VA
OFFICE OF MUNICIPAL PLANNING;HISTORICAL PRESERVATION 48;$29325.00;06/29/2011;LYNDON H. DESILVA;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;EDUCATION AND TRAINING CONSULTING 38;$8012.50;06/29/2011;GALLAUDET UNIVERSITY;WASHINGTON  ;DC
OFFICE OF MUNICIPAL PLANNING;HISTORICAL PRESERVATION 48;$5000.00;06/29/2011;CRYSTAL D. BANKS;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;EDUCATION AND TRAINING CONSULTING 38;$66512.75;06/29/2011;THE PERFORMANCE INSTITUTE;ARLINGTON  ;VA
OFFICE OF MUNICIPAL PLANNING;HISTORICAL PRESERVATION 48;$11000.00;06/29/2011;ROBBIE ROBINSON;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;COMPUTER AIDED DESIGN SERVICES 18;$134786.00;06/29/2011;CHEMWARE, INC.;RALEIGH  ;NC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$4587.00;06/29/2011;DIVERSIFIED EDUCATIONAL SYSTEM;MIDDLEBURG  ;VA
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$23585.04;06/29/2011;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$27193.60;06/29/2011;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$98468.36;06/29/2011;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF CORRECTIONS;HALFWAY HOUSING 49;$616201.92;06/29/2011;REYNOLDS AND ASSOCIATES;WASHINGTON  ;DC
DEPARTMENT ON DISABILITY SERVICES;GENERAL CONSTRUCTION: MANAGEMENT, SCHEDULING, COST ESTIMATION - ENGINEERING 44;$23816.00;06/29/2011;BELL ARCHITECTS, PC;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;CONSTRUCTION, HIGHWAY AND ROAD 27;$1610195.96;06/29/2011;FORT MYER CONSTRUCTION CORPORA;WASHINGTON  ;DC
DEPARTMENT OF CORRECTIONS;WIRING AND OTHER ELECTRICAL MAINTENANCE AND REPAIR SERVICES 82;$26325.00;06/29/2011;MONA ELECTRIC GROUP, INC.;CLINTON  ;MD
DEPARTMENT OF EMPLOYMENT SERVICES;FILE FOLDERS, REGULAR, LEGAL AND LETTER SIZES 45;$4681.00;06/29/2011;MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY;WASHINGTON  ;DC
DEPARTMENT OF PUBLIC WORKS;PADS AND TABLETS: ANALYSIS, COLUMNAR, FIGURE, MEMO, NOTE, RULED, POST-IT NOTES, TELEPHONE MESSAGE, ETC. 62;$9500.00;06/29/2011;MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;COPY PAPER - SPECIALIZED HIGH SPEED (INCLUDED RECYCLED) 33;$15500.00;06/29/2011;MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY;WASHINGTON  ;DC
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$17025.00;06/29/2011;DUTCHMILL CATERERS;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$65041.00;06/29/2011;PEPCO ENERGY SERVICES, INC;WASHINGTON  ;DC
